web-scraper-order,web-scraper-start-url,review_link,review_link-href,author,message,title,coord
"1711209963-1","https://yandex.ru/maps/org/po_ul_tereshkovoy_29/24386640130/","Отзывы","https://yandex.ru/maps/org/po_ul_tereshkovoy_29/24386640130/reviews/","Мария Рябинина","Очень хороший дом, сдаётся в предчистовой отделке, счётчики, электрика разведега, аогв есть, панорамные окна с тонировкой снаружи, планировки квартир шикарные. Закрытая территория, рядом только малоэтажные дома, из окон видно территорию детского сада, в котором имеется бассейн!","По ул. Терешковой, 29","40.915791,57.780945"
"1711209963-2","https://yandex.ru/maps/org/po_ul_tereshkovoy_29/24386640130/","Отзывы","https://yandex.ru/maps/org/po_ul_tereshkovoy_29/24386640130/reviews/","АБ","Эта новостройка пока ещё достраивается,но видно,что будет добротный дом с парковкой и близкой инфраструктурной, рядом детсад, поликлиники, магазины.","По ул. Терешковой, 29","40.915791,57.780945"
"1711209963-3","https://yandex.ru/maps/org/po_ul_tereshkovoy_29/24386640130/","Отзывы","https://yandex.ru/maps/org/po_ul_tereshkovoy_29/24386640130/reviews/","ШОХЗОДА Каршиев","Дом очень круто  но там есть один человек который называют его Денис он немного....","По ул. Терешковой, 29","40.915791,57.780945"
"1711209971-4","https://yandex.ru/maps/org/kupecheskiy_dom/138721908246/","Отзывы","https://yandex.ru/maps/org/kupecheskiy_dom/138721908246/reviews/","Александр П.","И не только был, но и принимал непосредственное участие в его реконструкции!!!","Купеческий дом","40.912472,57.776356"
"1711209971-5","https://yandex.ru/maps/org/kupecheskiy_dom/138721908246/","Отзывы","https://yandex.ru/maps/org/kupecheskiy_dom/138721908246/reviews/","Руслан","Очень хорошо 👍","Купеческий дом","40.912472,57.776356"
"1711209978-6","https://yandex.ru/maps/org/shkolnik/243820365328/","Отзывы","https://yandex.ru/maps/org/shkolnik/243820365328/reviews/","Сергей Измайлов","Хороший дом. Парковочных мест очень мало. Подъезд встречает приятной отделкой, что не типично для строительных организаций.","Школьник","40.942303,57.785378"
"1711209978-7","https://yandex.ru/maps/org/shkolnik/243820365328/","Отзывы","https://yandex.ru/maps/org/shkolnik/243820365328/reviews/","Светлана Соловьева","Дом не плохой, застройщик так себе. При сдаче дома обещали огородить территорию, а сами сбежали. Вообщем не надёжные ребята.","Школьник","40.942303,57.785378"
"1711209978-8","https://yandex.ru/maps/org/shkolnik/243820365328/","Отзывы","https://yandex.ru/maps/org/shkolnik/243820365328/reviews/","Natalya Sotnikova","Красивый дом!

Очень хорошие планировки квартир!

Дом расположен по второй линии от дороги

Близость к школам 35 и 18

В шаговой доступности магазины","Школьник","40.942303,57.785378"
"1711209978-9","https://yandex.ru/maps/org/shkolnik/243820365328/","Отзывы","https://yandex.ru/maps/org/shkolnik/243820365328/reviews/","Артем Лочехин","Дом построили на общественном пространстве, раньше здесь была прекрасная поляна, а теперь во это...","Школьник","40.942303,57.785378"
"1711209978-10","https://yandex.ru/maps/org/shkolnik/243820365328/","Отзывы","https://yandex.ru/maps/org/shkolnik/243820365328/reviews/","Алексей Волчихин","Очень хороший дом. Качественно построен. Школа рядом.","Школьник","40.942303,57.785378"
"1711209978-11","https://yandex.ru/maps/org/shkolnik/243820365328/","Отзывы","https://yandex.ru/maps/org/shkolnik/243820365328/reviews/","Роман","Красивый дом, нет ограждëнной территории.","Школьник","40.942303,57.785378"
"1711209978-12","https://yandex.ru/maps/org/shkolnik/243820365328/","Отзывы","https://yandex.ru/maps/org/shkolnik/243820365328/reviews/","Дмитриев Александр","Красивые современные квартиры","Школьник","40.942303,57.785378"
"1711209987-13","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/","Отзывы","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/reviews/","алексей с.","Современный дом расположился на бывшем пустыре и украсил собой существующую застройку. Красивый фасад и большая территория вокруг. Нет эффекта окна в окна. Высокая степень готовности. Большой выбор планировок квартир. Хороший и проверенный застройщик.","Высотка на Боровой","40.923153,57.800991"
